"Case#","Date","Time","Description","Location","Date_Time","Notes","Hour","Minute","Year","Time_Numeric","Type"
"220473","2022 12 27","1740","Graffiti","GCC",2022-12-27 17:40:00,"Notes: A CSO on patrol encountered new graffiti on the north exterior wall of the GCC. Building Services has been contacted for removal of the graffiti.",17,40,2022,17.6666666666667,"Incident"
"220474","2022 12 28","2210","Damage to Property","Griffin",2022-12-28 22:10:00,"Notes: This report is incomplete at this time.",22,10,2022,22.1666666666667,"Incident"
"220475","2022 12 31","1610","Damage to Property","Student Union",2022-12-31 16:10:00,"Notes: A CSO responded to a fire alarm in the Student Union. Upon opening the door, the CSO was met with what appeared to be smoke, but there was no odor of smoke and no signs of fire. The CSO observed that all of the curtains had been closed and all of the lights in the building were on. Upon investigation, the CSO discovered a deployed fire extinguisher on the floor. The CSO also observed a small bluetooth speak on the floor, a trash can had been tipped over, a small table had been broken, an armchair had been tipped over and had two of its legs broken off, dirty dishes from Commons had been left scattered on the floor in front of the restroom, both Sound Kollective closets had been broken into with visible damage to the door frames, an electric guitar inside an open guitar case in the south loft, a rubber mallet left on a radiator, and a small Fender amplifier on the north end of the dance floor. Sound Kollective was notified of the damage and requested to contact CS if they discovered anything missing.",16,10,2022,16.1666666666667,"Incident"
"220465","2022 12 19","0837","Information Only","Campus",2022-12-19 08:37:00,"Notes: A CSO responded to a request for assistance regarding unwanted contact of a student by relatives.",8,37,2022,8.61666666666667,"Incident"
"220466","2022 12 19","0918","Burglary/Clery Act Reportable Incident","Physical Plant",2022-12-19 09:18:00,"Notes: A CSO responded to a reported burglary from the Physical Plant. The CSO spoke with a grounds employee who reported that the southeast door to the garage had been broken and multiple pieces of equipment had been stolen. This included over a dozen chainsaws and leaf blowers, each valued at approximately $500. The grounds employee also planned on filing a report with the Portland Police.",9,18,2022,9.3,"Incident"
"220467","2022 12 19","2101","Graffiti","Greenwood",2022-12-19 21:01:00,"Notes: A CSO on patrol of Greenwood encountered new graffiti on the support pillar underneath the building. Building Services has been contacted for removal of the graffiti.",21,1,2022,21.0166666666667,"Incident"
"220468","2022 12 21","0818","Suspicious Person/Activity/Circumstances","Prexy House",2022-12-21 08:18:00,"Notes: CSOs responded to a report of suspicious activity in the Prexy House. Upon arrival, the CSOs met with a staff member who reported that upon their arrival they had heard noises in one of the bathrooms. The staff member stated that they had initially thought that another coworker had arrived early, but they then heard someone exit through the back door. When the staff member discovered that there was no one else in the building, they searched the building and found the southwest facing exterior door unlocked. The staff member then called CS to report that it had been an unknown individual in the building that had left when they heard the staff member arrive. No items were found to be missing but one glass candle holder had been broken. No other damage was found after the CSOs performed a thorough walkthrough of the building.",8,18,2022,8.3,"Incident"
"220469","2022 12 21","1347","Theft - Other","Eliot Hall",2022-12-21 13:47:00,"Notes: A CSO responded to a theft report at Eliot Hall. The reporting staff member stated that upon returning to their office after a leave, they observed that a brand new iPad, still in its original packaging, had been stolen. Multiple other parties have access to the room via the number pad lock.",13,47,2022,13.7833333333333,"Incident"
"220470","2022 12 22","1818","Graffiti","GCC",2022-12-22 18:18:00,"Notes: A CSO encountered targeting graffiti on the wall of a basement bathroom of the GCC. Building Services has been contacted for removal of the graffiti.",18,18,2022,18.3,"Incident"
"220471","2022 12 22","1951","Suspicious Person/Activity/Circumstances","Upper North Lot",2022-12-22 19:51:00,"Notes: A CSO on patrol in the upper north lot encountered a vehicle with its gas cap open. The CSO re-secured the gas cap and continued on their patrol.",19,51,2022,19.85,"Incident"
"220472","2022 12 25","1453","Damage to Property","Sports Field",2022-12-25 14:53:00,"Notes: A CSO on vehicle patrol on the north side of campus encountered an unknown juvenile individual riding a gas powered motorbike up and down the hill between the upper and lower sports fields. The motorbike operator drove the bike up to a picnic table on the upper sports field and joined a group of people there. The CSO walked over and engaged in conversation with an adult member of the group and informed them that they were not allowed to ride the motorbike on campus. The group gathered up their supplies and exited campus. ",14,53,2022,14.8833333333333,"Incident"
"220460","2022 12 12","1748","No Contact Order","Campus",2022-12-12 17:48:00,"Notes: No Contact Orders were issued at the request of the Title IX Coordinator pursuant to a formal complaint.",17,48,2022,17.8,"Incident"
"220461","2022 12 13","0104","Noise Complaint","Reed College Apartments",2022-12-13 01:04:00,"Notes: This report is incomplete at this time.",1,4,2022,1.06666666666667,"Incident"
"220462","2022 12 14","1915","Theft - Other","Bookstore/Homer’s Hut",2022-12-14 19:15:00,"Notes: A CSO responded to a report of a theft from the Reed bookstore. The CSO spoke with bookstore employees who reported that an unknown individual entered the bookstore and proceeded to ask the employees “a series of odd questions,” then left the bookstore. Approximately one hour and thirty minutes later, the individual returned and took a bag of chips without paying for them, stating that they did not have an ID card. Based on the two interactions the employees had had with the individual, they locked the bookstore and contacted Community Safety. The CSO recommended the bookstore remain locked for the remainder of the evening, only being unlocked to admit Reed community members with proof of ID. While the CSO was speaking with the bookstore employees, another CSO patrolled the immediate area in search of the unknown individual. The CSO encountered that individual and recognized them as having been escorted off campus earlier in the year (for asking community members if they had drugs to share). The CSO again escorted the individual off campus.",19,15,2022,19.25,"Incident"
"220463","2022 12 16","1454","Suspicious Person/Activity/Circumstances","Growing Seeds Childcare",2022-12-16 14:54:00,"Notes: A CSO on patrol encountered a camping vehicle with an attached trailer parked outside of the Growing Seeds Childcare. The CSO approached the vehicle and conversed with the occupants. The driver stated that they had run out of gas and were waiting for someone to help them. The CSO advised the driver that they were parked in front of a childcare facility and that if the vehicle were not moved it would be reported as a non-functioning vehicle. The vehicle has since been moved.",14,54,2022,14.9,"Incident"
"220453","2022 12 05","1312","Exclusion","Northwest Quadrant",2022-12-05 13:12:00,"Notes: A CSO on patrol in the northwest quadrant encountered an unknown individual. When the CSO requested to see the individual’s Reed ID the individual threatened the CSO's physical safety. The CSO issued a verbal exclusion and escorted the individual off of campus without incident.",13,12,2022,13.2,"Incident"
"220455","2022 12 06","1224","Medical Assist - Other","Academic building",2022-12-06 12:24:00,"Notes: CSOs responded to a request for medical attention at an academic building. Upon arrival they met with a non-community member who had fainted and since regained consciousness. The CSOs evaluated the individual for any signs of continuing medical distress and as they spoke with the individual, the individual began to feel better and the CSOs observed the individual’s physical condition appeared to be visibly improving also. The CSOs cleared from the call without the need for further medical intervention. ",12,24,2022,12.4,"Incident"
"220456","2022 12 06","2105","Medical Assist - Other","Campus",2022-12-06 21:05:00,"Notes: CSOs responded to a request for medical assistance on campus. Upon arrival, the CSOs met with two Reed students, one of whom was possibly experiencing an allergic reaction. American Medical Response (AMR) was requested for further evaluation and care. Upon arrival and evaluation it was recommended that the student be transported to a nearby medical facility for further assistance. The student declined AMR transport and stated that their friend would give them a ride instead. The CSOs cleared the call once all other parties had left.",21,5,2022,21.0833333333333,"Incident"
"220457","2022 12 08","0024","Noise Complaint","Reed College Apartments",2022-12-08 00:24:00,"Notes: A CSO responded to a report of a noise complaint at the RCAs. The CSO made contact with the involved parties and resolved the issue for the evening.",0,24,2022,0.4,"Incident"
"220458","2022 12 08","0326","Medical Amnesty/Medical Assist - Alcohol","Residence hall",2022-12-08 03:26:00,"Notes: A CSO responded to a request for medical assistance regarding the ingestion of alcohol. Upon arrival, the CSO met with a student who had ingested multiple alcoholic beverages in a comparatively short amount of time and was feeling unwell. After an evaluation referencing the CS yellow card “Signs of alcohol or other drug overdose emergencies” the CSO determined that the student was not in need of urgent medical attention and encouraged the student to eat some food. The student’s friends obliged in fetching some food for the student who ate and then lied down for a bit. After a little while the student was feeling well enough to walk unassisted to their residence, at which time the CSO cleared from the call.",3,26,2022,3.43333333333333,"Incident"
"220459","2022 12 08","0912","Damage to Property","West Lot",2022-12-08 09:12:00,"Notes: A CSO on patrol in the West Lot encountered a vehicle that had its rear passenger window broken out. The owner of the vehicle was contacted and plastic was taped over the window to protect the vehicle’s interior from the elements. The CSO noted that on a prior patrol one hour earlier, the vehicle had been intact with no noticeable damage.",9,12,2022,9.2,"Incident"
"220436","2022 11 21","1320","Information Only","Eliot Hall",2022-11-21 13:20:00,"Notes: A CSO responded to a report of suspicious circumstances in Eliot Hall. The CSO met with a Reed staff member who reported that they had locked their office before leaving for the weekend and upon their return they found the office to be unlocked and items moved around. There was no evidence of forced entry. The CSO confirmed that to their knowledge no one aside from the office occupant and Community Safety has a copy of the room key.",13,20,2022,13.3333333333333,"Incident"
"220437","2022 11 22","0611","Suspicious Person/Activity/Circumstances","Reed College Apartments",2022-11-22 06:11:00,"Notes: A CSO responded to a report of an unauthorized entry of an unknown individual into a Reed College apartment. The CSO met with a Reed student who reported that they had awakened to find another individual asleep in their bed next to them. They stated that after a bit the individual got up and left without incident. A Timely Warning was issued to the community regarding this incident.",6,11,2022,6.18333333333333,"Incident"
"220438","2022 11 23","0628","Noise Complaint","Reed College Apartments",2022-11-23 06:28:00,"Notes: A CSO responded to a noise complaint at the Reed College apartments. The CSO met with both the complainant and the other resident creating the noise. The other resident apologized for any excessive noise and the CSO continued on their regular patrol duties.",6,28,2022,6.46666666666667,"Incident"
