"Type","Incidents","startDate","endDate","Year"
"Alarm checks",10,2023-03-27,2023-04-02,2023
"Animal issue responses",0,2023-03-27,2023-04-02,2023
"AOD interactions",1,2023-03-27,2023-04-02,2023
"Building patrols",325,2023-03-27,2023-04-02,2023
"Candle/incense violation interactions",0,2023-03-27,2023-04-02,2023
"Community assistance responses",1,2023-03-27,2023-04-02,2023
"Escorts",4,2023-03-27,2023-04-02,2023
"Fire responses",0,2023-03-27,2023-04-02,2023
"Foot patrols",159,2023-03-27,2023-04-02,2023
"Held door checks",4,2023-03-27,2023-04-02,2023
"Maintenance issue responses",1,2023-03-27,2023-04-02,2023
"Medical assistance responses",3,2023-03-27,2023-04-02,2023
"Noise complaint responses",0,2023-03-27,2023-04-02,2023
"Suspicious circumstance responses",10,2023-03-27,2023-04-02,2023
"Theft reports taken",0,2023-03-27,2023-04-02,2023
"Unlocks",84,2023-03-27,2023-04-02,2023
"Vehicle patrols",266,2023-03-27,2023-04-02,2023
"Vehicle assistance responses",1,2023-03-27,2023-04-02,2023
"Welfare check responses",1,2023-03-27,2023-04-02,2023
"Alarm checks",10,2023-03-20,2023-03-26,2023
"Animal issue responses",0,2023-03-20,2023-03-26,2023
"AOD interactions",1,2023-03-20,2023-03-26,2023
"Building patrols",299,2023-03-20,2023-03-26,2023
"Candle/incense violation interactions",0,2023-03-20,2023-03-26,2023
"Community assistance responses",0,2023-03-20,2023-03-26,2023
"Escorts",4,2023-03-20,2023-03-26,2023
"Fire responses",0,2023-03-20,2023-03-26,2023
"Foot patrols",185,2023-03-20,2023-03-26,2023
"Held door checks",12,2023-03-20,2023-03-26,2023
"Maintenance issue responses",4,2023-03-20,2023-03-26,2023
"Medical assistance responses",2,2023-03-20,2023-03-26,2023
"Noise complaint responses",1,2023-03-20,2023-03-26,2023
"Suspicious circumstance responses",5,2023-03-20,2023-03-26,2023
"Theft reports taken",1,2023-03-20,2023-03-26,2023
"Unlocks",70,2023-03-20,2023-03-26,2023
"Vehicle patrols",226,2023-03-20,2023-03-26,2023
"Vehicle assistance responses",5,2023-03-20,2023-03-26,2023
"Welfare check responses",3,2023-03-20,2023-03-26,2023
"Alarm checks",5,2023-03-13,2023-03-19,2023
"Animal issue responses",0,2023-03-13,2023-03-19,2023
"AOD interactions",0,2023-03-13,2023-03-19,2023
"Building patrols",285,2023-03-13,2023-03-19,2023
"Candle/incense violation interactions",0,2023-03-13,2023-03-19,2023
"Community assistance responses",1,2023-03-13,2023-03-19,2023
"Escorts",3,2023-03-13,2023-03-19,2023
"Fire responses",0,2023-03-13,2023-03-19,2023
"Foot patrols",162,2023-03-13,2023-03-19,2023
"Held door checks",11,2023-03-13,2023-03-19,2023
"Maintenance issue responses",1,2023-03-13,2023-03-19,2023
"Medical assistance responses",4,2023-03-13,2023-03-19,2023
"Noise complaint responses",0,2023-03-13,2023-03-19,2023
"Suspicious circumstance responses",10,2023-03-13,2023-03-19,2023
"Theft reports taken",0,2023-03-13,2023-03-19,2023
"Unlocks",73,2023-03-13,2023-03-19,2023
"Vehicle patrols",252,2023-03-13,2023-03-19,2023
"Vehicle assistance responses",2,2023-03-13,2023-03-19,2023
"Welfare check responses",1,2023-03-13,2023-03-19,2023
"Alarm checks",5,2023-03-06,2023-03-12,2023
"Animal issue responses",0,2023-03-06,2023-03-12,2023
"AOD interactions",4,2023-03-06,2023-03-12,2023
"Building patrols",366,2023-03-06,2023-03-12,2023
"Candle/incense violation interactions",0,2023-03-06,2023-03-12,2023
"Community assistance responses",1,2023-03-06,2023-03-12,2023
"Escorts",6,2023-03-06,2023-03-12,2023
"Fire responses",0,2023-03-06,2023-03-12,2023
"Foot patrols",192,2023-03-06,2023-03-12,2023
"Held door checks",8,2023-03-06,2023-03-12,2023
"Maintenance issue responses",2,2023-03-06,2023-03-12,2023
"Medical assistance responses",5,2023-03-06,2023-03-12,2023
"Noise complaint responses",0,2023-03-06,2023-03-12,2023
"Suspicious circumstance responses",8,2023-03-06,2023-03-12,2023
"Theft reports taken",1,2023-03-06,2023-03-12,2023
"Unlocks",61,2023-03-06,2023-03-12,2023
"Vehicle patrols",262,2023-03-06,2023-03-12,2023
"Vehicle assistance responses",5,2023-03-06,2023-03-12,2023
"Welfare check responses",0,2023-03-06,2023-03-12,2023
"Alarm checks",4,2023-02-27,2023-03-05,2023
"Animal issue responses",1,2023-02-27,2023-03-05,2023
"AOD interactions",1,2023-02-27,2023-03-05,2023
"Building patrols",326,2023-02-27,2023-03-05,2023
"Candle/incense violation interactions",0,2023-02-27,2023-03-05,2023
"Community assistance responses",6,2023-02-27,2023-03-05,2023
"Escorts",2,2023-02-27,2023-03-05,2023
"Fire responses",0,2023-02-27,2023-03-05,2023
"Foot patrols",183,2023-02-27,2023-03-05,2023
"Held door checks",7,2023-02-27,2023-03-05,2023
"Maintenance issue responses",3,2023-02-27,2023-03-05,2023
"Medical assistance responses",6,2023-02-27,2023-03-05,2023
"Noise complaint responses",0,2023-02-27,2023-03-05,2023
"Suspicious circumstance responses",9,2023-02-27,2023-03-05,2023
"Theft reports taken",0,2023-02-27,2023-03-05,2023
"Unlocks",91,2023-02-27,2023-03-05,2023
"Vehicle patrols",252,2023-02-27,2023-03-05,2023
"Vehicle assistance responses",0,2023-02-27,2023-03-05,2023
"Welfare check responses",0,2023-02-27,2023-03-05,2023
"Alarm checks",8,2023-02-20,2023-02-26,2023
"Animal issue responses",0,2023-02-20,2023-02-26,2023
"AOD interactions",0,2023-02-20,2023-02-26,2023
"Building patrols",298,2023-02-20,2023-02-26,2023
"Candle/incense violation interactions",0,2023-02-20,2023-02-26,2023
"Community assistance responses",1,2023-02-20,2023-02-26,2023
"Escorts",3,2023-02-20,2023-02-26,2023
"Fire responses",0,2023-02-20,2023-02-26,2023
"Foot patrols",225,2023-02-20,2023-02-26,2023
"Held door checks",10,2023-02-20,2023-02-26,2023
"Maintenance issue responses",0,2023-02-20,2023-02-26,2023
"Medical assistance responses",1,2023-02-20,2023-02-26,2023
"Noise complaint responses",1,2023-02-20,2023-02-26,2023
