"Case#","Date","Time","Description","Location","Date_Time","Notes"
"230101","2023 03 13","1146","Information Only","Off Campus",1678707960,"Notes: Dispatch received an emailed report of a Reed owned off-property storage unit being burglarized. The unit had been accessed using the Reed gate code, then the lock had been cut and items had been removed from the unit. The reporting party also filed a police report."
"230102","2023 03 14","1622","Medical Transport - Other","Administrative building",1678810920,"Notes: A CSO responded to a request for medical assistance in an administrative building. The CSO met with a Reed community member experiencing physical distress. Emergency medical services were requested and the community member was transported by American Medical Response to a nearby medical facility for further care."
"230103","2023 03 15","1519","Exclusion","Canyon",1678893540,"Notes: A CSO responded to a report of a suspicious person in the canyon. The description given matched that of an individual who had been asked to leave campus in the weeks before. The CSO intercepted the person matching the description and confirmed that it was the same person who had been asked to leave in a prior instance. The CSO again escorted the individual off of campus and issued a verbal exclusion during this interaction. The individual left campus without incident."
"230104","2023 03 15","2056","Medical Assist - Other","Residence hall",1678913760,"Notes: A CSO responded to a request for medical assistance in a residence hall. The CSO met with a student who was having trouble breathing and believed they had something lodged in their throat. The CSO remained with the student who, after some time, began feeling better. The CSO departed when the student’s friend arrived. The CSO provided the student with a pink emergency number card in case it was needed."
"230105","2023 03 07","0003","Damage to Property","West Lot",1678147380,"Notes: A CSO on patrol encountered the odor of gasoline. Upon investigating, the CSO encountered a Reed owned van with multiple puncture holes in its gas tank, from which gas was still leaking. The CSO used the contents of a spill bag to cover the gas on the ground and placed a cone in front of the van. Dispatch contacted the appropriate parties for clean up of the gas and needed repairs of the van."
"230106","2023 03 17","1003","Damage to Property","West Lot",1679047380,"Notes: CSOs responded to the West Lot regarding a report of a suspicious individual. Upon arrival, neither the individual, nor the vehicle presumably associated with them, were present. The CSOs did encounter the strong odor of gasoline. Upon inspecting the area, they discovered a Reed owned van with puncture holes in its gas tank. Reed maintenance was contacted for clean up of the gasoline. This is the second Reed van that had its gas tank punctured in less than 24 hours."
"230107","2023 03 17","1650","Exclusion","Steele Lot",1679071800,"Notes: A CSO on patrol near the Steele Lot encountered a known houseless individual camping in their trailer in the lot. The CSO spoke with the individual and, since this was not the first interaction with this individual camping on Reed property, issued a verbal exclusion. The individual stated they understood and left the property. "
"230109","2023 03 19","0618","Student Concern","Residence Hall",1679206680,"Notes: A CSO responded to a report of a student possibly experiencing a mental health crisis. The CSO engaged with the student and called the Area Coordinator On-Call (AC) for assistance. The student was eventually assisted by EMS and transported to a medical facility for care. "
"230110","2023 03 19","0909","Medical Assist - Other","Residence hall",1679216940,"Notes: A CSO responded to a request for medical assistance at a residence hall. The CSO met with a student who had concerns about their prescribed medication. The CSO remained with the student until the student felt confident that all was well. The CSO departed with the agreement that they would check back with the student later. When the CSO did so, the student was well."
"230111","2023 03 19","2200","Medical Assist - Drug related","residence hall",1679263200,"Notes: CSOs responded to a request for medical assistance at a residence hall. The CSOs met with a student who reported that they had accidentally ingested “poppers” and were unsure what to do. The CSOs remained with the student to observe their condition and after a short while they departed, as the student was feeling better. Upon leaving, the CSOs advised the student to Contact Community Safety if their condition worsened. "
"230091","2023 03 06","2254","Medical Assist - Other","Residence Hall",1678143240,"Notes: CSOs responded to a request for medical assistance in a residence hall. The CSOs met with a student experiencing physical distress. After assessing the student and discussing options, the student opted to follow up with their primary care physician, and the CSOs cleared from the call."
"230092","2023 03 07","1327","Damage to Property","GCC/Reed Community Pantry",1678195620,"Notes: Dispatch received an emailed report of vandalism at the Reed Community Pantry. It was reported that flyers were ripped off of the walls, a mural was defaced, and items from the front desk had been tampered with sometime during the night."
"230093","2023 03 07","2204","Smoking Violation","Doyle",1678226640,"Notes: This report is incomplete at this time."
"230094","2023 03 07","2238","Alcohol Violation","GCC",1678228680,"Notes: Two CSOs on patrol in the GCC observed a small group of students walk by them. One of the students was observed dropping a box of wine and attempting to make a quick exit from the building. One of the CSOs remained inside the building to dispose of the wine, while the other CSO made contact with the group of students. The CSOs then returned to their normal patrol duties."
"230096","2023 03 09","1249","Theft - Other","28 West",1678366140,"Notes: Three students arrived at 28 West to pick up a delivery of cupcakes that had been left for one of the students. The box had been left on the delivery table just outside of the west entrance to the building. The student to whom the cupcakes belonged re-entered the building to report that the box had been ripped open and one of the cupcakes had been removed. The Dispatcher and a Community Safety Manager (CSM) offered to watch the security camera footage to see if they could identify what had happened. While watching the footage, the Dispatcher and CSM observed that at approximately 1225 hours, a squirrel jumped up onto the table, ripped open the clear plastic on the top of the box, then left. Shortly after, the squirrel returned and removed one of the cupcakes. CSOs were unable to determine which of the dozens of squirrels living nearby had been the culprit. It remains at large. The student victim requested to record the security footage on their cell phone to share with the person who purchased the cupcakes for them, and Community Safety agreed to this record release."
"230097","2023 03 09","1747","Medical Assist - Other","HCC",1678384020,"Notes: The director of Community Safety responded to a request for assistance at the HCC. Upon arrival, the director met with a student who had arrived at the HCC to use their services, but the building was closed. The student had fallen into a stream and their clothes had become soaked. The director escorted the student to 28 West where an emergency warming blanket was brought to the student and a space heater was set up to help rewarm the student. Clean dry clothes were provided for the student to borrow and the student was given some warm tea. After the student had changed into warm clothes, the director assessed the student for any signs of hypothermia, of which there were none. The student remained at 28 West until they felt warm enough to leave. A CSO then provided the student with a vehicle escort to the student’s car."
"230099","2023 03 10","2215","Unattended Alcohol or Drugs","Woodbridge",1678486500,"Notes: A CSO on patrol near Woodbridge observed an unattended cigarette box on top of the wall near the building stairs. When the CSO inspected the box, they discovered two cannabis joints inside the box. The CSO asked some nearby students if the box was theirs, but no one claimed ownership of the box. The box and cannabis joints were confiscated and disposed of."
"230100","2023 03 11","1423","Medical Transport - Drug","Residence Hall",1678544580,"Notes: CSOs responded to a report of an individual experiencing negative side effects from taking psychedelics. The CSOs made contact with the resident who stated that they and a friend had taken LSD and their friend was “having a bad trip.” The CSOs observed that the resident was gently restraining their friend by their arm, and that the friend was bleeding from their scalp. The friend broke free of the resident’s grip and physically assaulted one of the CSOs. The CSO backed away from the individual and it was decided that emergency medical services would be contacted for assistance. The CSOs and resident remained with the individual until paramedics arrived and safely transported the individual to a nearby medical facility for further care. "
"230080","2023 02 27","1250","Graffiti","GCC Info Shop",1677502200,"Notes: A CSO responded to a report of new graffiti spray painted all over the walls of the GCC info shop. "
"230082","2023 03 02","1728","Medical Assist - Other","Sports Center",1677778080,"Notes: A CSO responded to a request for medical assistance at the Sports Center. Upon arrival, the CSO met with a Reed staff member, and a Reed community member who had sustained an injury. The CSO guided an ambulance to the location, and then cleared from the call once the community member had been safely transported to a medical facility for further care."
"230083","2023 03 03","0352","Damage to Property/Theft of Motor Vehicle/Clery Act Reportable Incident","Grove Lot",1677815520,"Notes: A CSO at 28 West observed two individuals dressed in all black, including hats and masks, exit a parked vehicle in the Grove Lot, and one of the two entered another vehicle. The CSO attempted to make contact with the individuals and when they did so, one individual yelled to the other, who then quickly exited the second vehicle. The two individuals got into their own vehicle and sped out of the lot. When the CSO investigated the vehicle that had been entered by one of the two individuals, they observed damage to the steering column and fuse box panel. The vehicle is not registered with Community Safety so the owner was not contacted, but the CSO did leave a Community Safety card inside the vehicle and locked all of the vehicle doors."
"230087","2023 03 04","0124","Medical Assist - Alcohol","Residence Hall",1677893040,"Notes: CSOs responded to a request for medical assistance in a residence hall. Upon arrival, they met with the reporting student who stated that another student had consumed an unknown amount of alcohol and had become unresponsive. In assessing the student in question, the CSOs observed that the student was unconscious and unresponsive. American Medical Response was requested and transported the student to a nearby medical facility for care."
"230089","2023 03 04","0516","Medical Assist - Other","Central Campus",1677906960,"Notes: CSOs responded to a request for medical assistance in central campus. Upon arrival, they met with the reporting party who stated that another student was experiencing symptoms of a known medical condition. American Medical Response was requested, and the student in question was transported to a nearby medical facility for further care."
"230090","2023 03 05","1343","Animal Issue","Northeast Quadrant",1678023780,"Notes: A CSO responded to a report of a dog fight near the entrance to the north parking lot. The CSO met with some non-community members who stated that while two people were walking their dogs, a third dog exited a nearby vehicle and began attacking one of the two dogs. Shortly after, another dog appeared, no owner in sight, and also began attacking the one dog. By the time the CSO arrived, the fight had been stopped and both of the off leash dogs had been contained. The dog that had been attacked was no longer on site, as it had sustained injuries and was taken to the veterinarian. Animal control arrived and took custody of both off-leash dogs."
